"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","superficie","osm_id","comm_fkt"
"w681870138",6,0,0,6,6,1,368.6,377,10.5826865032147,NA,NA,NA,NA,NA,NA,20556.72,681870138,"MAROTOKO_AMBATOMITRATRAKA"
"w681870139",7,0,1,6,3,9,312.4,308,24.318575715883,NA,NA,NA,NA,NA,NA,2212.253,681870139,"MAROTOKO_AMBATOMITRATRAKA"
"w681870140",8,0,2,4,4,10,297.2,257,15.2178688687672,NA,NA,NA,NA,NA,NA,1685.359,NA,NA
"w681870141",5,0,0,4,6,1,375.25,384,14.2197547691095,NA,NA,NA,NA,NA,NA,21811.04,681870141,"MAROTOKO_AMBATOMITRATRAKA"
"w681870142",5,0,0,6,6,3,378.75,377.5,18.9691237691711,NA,NA,NA,NA,NA,NA,6917.718,681870142,"MAROTOKO_AMBATOMITRATRAKA"
"w681870143",8,2,0,6,1,9,273.2,272,26.978260673842,1,6,3,164.5,164.5,10.4128593338282,654.1405,NA,NA
"w681872065",7,2,0,1,12,9,326.5,318,20.0446398844712,12,7,4,261.5,261.5,19.9350140033826,1579.324,NA,NA
"w681872066",5,0,1,6,2,10,378.5,338,17.8136587415404,NA,NA,NA,NA,NA,NA,1182.688,NA,NA
"w681872067",9,2,1,6,1,10,270.4,278,38.2131498420298,2,6,4,147,147,17.8021986534535,1566.672,NA,NA
"w681872068",9,3,0,6,1,9,270.8,223,31.9741161949083,1,6,3,162.333333333333,167,17.2517383644414,3600.364,681872068,"MAROTOKO_AMBARIJATSY"
"w681872069",8,0,2,5,1,9,297.4,265,21.6722594907519,NA,NA,NA,NA,NA,NA,4155.379,681872069,"MAROTOKO_AMBARIJATSY"
"w681872070",6,1,0,6,6,2,310.25,345,26.6759160867233,11,6,2,216,216,30.6739071026454,1417.523,NA,NA
"w681872071",6,0,0,6,6,12,371.2,362,26.012052906053,NA,NA,NA,NA,NA,NA,35425.98,681872071,"MAROTOKO_AMBARIJATSY"
"w681893494",6,1,1,7,3,12,296.25,285.5,11.142273736838,10,8,1,294,294,7.71393575534707,1761.625,NA,NA
"w681893495",6,0,1,1,1,8,375.5,370,16.1751935875029,NA,NA,NA,NA,NA,NA,3258.845,681893495,"RANOMAFANA_VOHIMARINA"
"w681893496",7,0,1,11,6,3,302,285.5,12.9357736555713,NA,NA,NA,NA,NA,NA,937.9267,NA,NA
"w681893497",10,2,2,6,6,3,248.2,201,7.28524054451444,12,6,3,185,185,13.3444780753715,4105.667,681893497,"RANOMAFANA_VOHIMARINA"
"w681893498",8,1,0,6,6,11,302.166666666667,303.5,16.6067338469301,12,6,3,202,202,12.5296517946784,4134.67,681893498,"RANOMAFANA_VOHIMARINA"
"w681893499",8,2,1,7,11,10,269.4,251,26.0165754810329,2,7,5,149.5,149.5,22.1001174726114,1505.265,NA,NA
"w681893500",11,4,1,6,12,9,187.8,188,9.96629462562001,12,6,3,181,184.5,10.1718058621616,29737.12,681893500,"RANOMAFANA_VOHIMARINA"
"w681894303",6,0,2,12,3,5,344,369,8.59539085392998,NA,NA,NA,NA,NA,NA,9390.827,681894303,"RANOMAFANA_VOHIMARINA"
"w681894304",6,1,1,5,5,12,320.75,352,14.3963038539072,11,7,2,231,231,13.1534027951528,8493.603,681894304,"RANOMAFANA_VOHIMARINA"
"w681894305",7,0,3,5,5,5,337,345.5,5.69349838099847,NA,NA,NA,NA,NA,NA,1049.377,NA,NA
"w681894306",6,1,1,6,4,9,274.25,244.5,7.13228258907844,12,6,3,180,180,5.0991881797943,4051.964,681894306,"RANOMAFANA_VOHIMARINA"
"w681894307",5,0,0,6,6,2,373.25,370,17.9076442092531,NA,NA,NA,NA,NA,NA,6506.074,681894307,"RANOMAFANA_VOHIMARINA"
"w681894952",7,0,2,4,1,8,315.6,321,6.34548423786481,NA,NA,NA,NA,NA,NA,6759.834,681894952,"RANOMAFANA_VOHIMARINA"
"w681894959",5,0,0,6,12,9,366.25,415,18.8105222731506,NA,NA,NA,NA,NA,NA,1862.997,NA,NA
"w681894960",6,0,0,5,5,1,319.6,336,15.7885153235586,NA,NA,NA,NA,NA,NA,17815.92,681894960,"RANOMAFANA_VOHIMARINA"
"w681898369",8,1,1,5,5,10,315.6,313,22.8492959165072,1,7,4,167,167,5.72802858924381,1452.413,NA,NA
"w681898370",6,0,1,3,3,11,344.8,328,14.4497408893276,NA,NA,NA,NA,NA,NA,1010.621,NA,NA
"w681898371",6,0,0,5,1,9,339.2,320,12.0267230593557,NA,NA,NA,NA,NA,NA,5425.518,681898371,"RANOMAFANA_VOHIMARINA"
"w681898372",8,1,1,4,4,11,317.2,335,25.1076175011612,3,8,6,160,160,10.8100195277667,1302.219,NA,NA
"w681898373",5,0,0,5,6,2,368.25,362.5,7.65732109828761,NA,NA,NA,NA,NA,NA,40727.69,681898373,"RANOMAFANA_VOHIMARINA"
"w681898374",6,0,1,6,6,1,331.5,349,16.629153351679,NA,NA,NA,NA,NA,NA,78759.34,681898374,"RANOMAFANA_VOHIMARINA"
"w681898392",8,1,1,4,4,10,287,285,15.1906421845487,11,6,2,230,230,9.01888679324496,1399.077,NA,NA
"w681899345",6,0,0,6,5,10,364.4,399,27.6781161572734,NA,NA,NA,NA,NA,NA,3456.725,681899345,"RANOMAFANA_AMPASIMPOTSY"
"w681899346",6,1,0,6,8,10,403.25,391.5,31.5115638523368,11,6,3,209,209,11.3092779617487,2733.517,681899346,"RANOMAFANA_AMPASIMPOTSY"
