"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","superficie","osm_id","comm_fkt"
"w669052677",6,0,1,6,6,2,339.75,362.5,14.7313741976536,NA,NA,NA,NA,NA,NA,47004.5332094,669052677,"RANOMAFANA_SAHANDRAZANA"
"w669052691",6,0,1,5,1,8,462.25,387,12.0498489036539,NA,NA,NA,NA,NA,NA,2638.12143362,669052691,"RANOMAFANA_SAHANDRAZANA"
"w669052693",6,0,0,4,2,11,362.8,343,28.154249872804,NA,NA,NA,NA,NA,NA,2112.28068645,669052693,"RANOMAFANA_SAHANDRAZANA"
"w669052696",7,0,1,4,12,9,326.8,334,12.7117864274929,NA,NA,NA,NA,NA,NA,13935.2957238,669052696,"RANOMAFANA_SAHANDRAZANA"
"w669054678",7,0,1,5,1,10,318.6,336,22.7833748422892,NA,NA,NA,NA,NA,NA,3977.56552478,669054678,"AMBOHIMIERA_VOHIMENA"
"w669054710",7,2,0,7,2,10,267.8,266,7.43395793662855,2,7,5,215.5,215.5,6.05208134044021,1272.20856407,NA,NA
"w669054711",7,2,0,4,1,9,291.6,294,35.4998821141799,1,10,5,216,216,33.9131724280579,3886.04092066,669054711,"AMBOHIMIERA_VOHIMENA"
"w669054712",7,0,1,1,1,9,339.2,321,20.2660289345086,NA,NA,NA,NA,NA,NA,1710.41922128,NA,NA
"w669054713",7,0,2,5,5,10,347.4,364,44.3553367472783,NA,NA,NA,NA,NA,NA,1957.90359828,NA,NA
"w669054714",8,1,1,5,3,10,312.4,335,33.7950639698668,1,6,4,167,167,20.715118073845,11979.7472688,669054714,"AMBOHIMIERA_VOHIMENA"
"w669054715",7,0,2,3,4,10,298.75,290,27.6103730025605,NA,NA,NA,NA,NA,NA,1704.0305579,NA,NA
"w669054716",6,1,0,7,12,8,388.4,369,14.0795905486892,12,6,3,174,174,4.8885341699742,658.135698102,NA,NA
"w669054717",7,0,2,5,1,10,323.8,321,25.1408524580888,NA,NA,NA,NA,NA,NA,2026.70701422,669054717,"AMBOHIMIERA_VOHIMENA"
"w669054718",6,0,0,2,2,9,360,328,29.047788318692,NA,NA,NA,NA,NA,NA,1392.35832917,NA,NA
"w669056080",6,0,0,5,5,9,358.8,377,51.6022393144499,NA,NA,NA,NA,NA,NA,1235.95874225,NA,NA
"w669056081",5,0,0,4,4,10,372.8,398,20.4200178885504,NA,NA,NA,NA,NA,NA,4025.27529127,669056081,"AMBOHIMIERA_VOHIMENA"
"w669056082",6,0,2,6,1,9,267.333333333333,279,9.27280123095764,NA,NA,NA,NA,NA,NA,447.279331216,NA,NA
"w669056083",8,0,3,5,1,9,301.2,286,6.58203821079757,NA,NA,NA,NA,NA,NA,1488.11904066,NA,NA
"w669056084",8,2,1,7,2,10,267.6,299,33.0763081472602,2,7,5,160,160,17.3757952672763,1975.40705754,NA,NA
"w669056096",8,0,3,4,3,9,313.75,313.5,29.5063621281615,NA,NA,NA,NA,NA,NA,1980.28093766,NA,NA
"w669056097",7,3,0,4,1,10,264.75,268.5,60.7674467680105,1,7,5,272,189,34.8686632668522,574.397510478,NA,NA
