"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","perc_max","osm_id","rcf_superficie","comm_fkt"
"w668188109",6,0,0,7,7,12,333.4,369,19.5926470067563,NA,NA,NA,NA,NA,NA,70.1250889744522,668188109,25196.671,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w668188121",8,0,2,1,12,6,318.2,335,16.7512126995796,NA,NA,NA,NA,NA,NA,81.3610166367773,668188121,2465.76,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w668188124",6,1,1,12,8,5,370,328,8.96020213219284,12,6,3,181,181,5.01335307911552,65.9716301111424,668188124,2253.415,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w668188127",5,0,0,4,6,10,378.75,377.5,18.6314702421978,NA,NA,NA,NA,NA,NA,72.2239719553834,668188127,8971.811,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w668188130",8,0,2,4,4,10,316.8,286,19.7098674169102,NA,NA,NA,NA,NA,NA,98.3511786719169,668188130,2822.715,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w668189944",8,2,1,3,2,8,232,226.5,6.67202339792535,2,3,6,292.5,292.5,3.35028940716176,54.2189120568382,668189944,2597.934,"AMBOHIMIERA_AMBOHIMILANJA"
"w668191952",5,0,1,6,6,9,352.25,384.5,6.53172705071355,NA,NA,NA,NA,NA,NA,49.718074590232,668191952,12940.555,"TSARATANANA_AMBODIMANGA OUEST"
"w668191953",7,0,1,6,6,9,344.8,349,12.0954171232589,NA,NA,NA,NA,NA,NA,51.4813372137933,668191953,8402.406,"TSARATANANA_AMBODIMANGA OUEST"
"w668191961",9,3,0,5,12,9,239.8,224,15.3823818885043,1,5,4,167.333333333333,161,10.2795714232459,77.2877798492281,668191961,10514.158,"TSARATANANA_AMBODIMANGA OUEST"
"w668191962",6,0,1,5,2,9,333.25,328,8.26302652486905,NA,NA,NA,NA,NA,NA,43.5473919197593,668191962,8589.41,"TSARATANANA_AMBODIMANGA OUEST"
"w668191964",6,0,1,12,4,10,398.25,408,18.3485903136887,NA,NA,NA,NA,NA,NA,55.6188658979025,668191964,8224.629,"TSARATANANA_AMBODIMANGA OUEST"
"w668192340",4,0,0,6,7,2,373.5,377,19.5741893032556,NA,NA,NA,NA,NA,NA,88.9524800276084,668192340,5741.726,"TSARATANANA_AMBODIMANGA OUEST"
"w668193657",8,3,0,7,7,10,233.75,174.5,16.6431992562882,1,7,4,173.666666666667,173,15.6059851996187,61.0891028471765,668193657,12300.853,"TSARATANANA_AMBODIMANGA OUEST"
"w668193666",7,1,0,6,12,9,301.4,355,11.3895752706775,12,6,3,188,188,11.7607213174937,51.6513086264214,668193666,3470.999,"TSARATANANA_AMBODIMANGA OUEST"
"w668194735",6,0,1,6,5,11,334.75,345.5,13.5710384775014,NA,NA,NA,NA,NA,NA,61.8229898384387,668194735,23826.752,"TSARATANANA_AMBODIMANGA OUEST"
"w668194744",8,1,1,9,8,5,279.2,259,9.08498865240291,1,9,5,229,229,7.56714816234104,91.7903426095925,668194744,2324.953,"TSARATANANA_AMBODIMANGA OUEST"
"w668194762",6,0,0,5,5,9,354.4,357,16.4230634175735,NA,NA,NA,NA,NA,NA,51.9289319184877,668194762,12708.619,"TSARATANANA_AMBODIMANGA OUEST"
"w668194783",7,2,1,3,12,9,317.25,334.5,17.0339044537042,12,7,4,216,216,6.73701754604169,77.6737846962598,668194783,2814.972,"TSARATANANA_AMBODIMANGA OUEST"
"w668196870",5,0,1,4,5,10,329.5,359.5,25.6314493919145,NA,NA,NA,NA,NA,NA,75.8363557426213,668196870,29027.711,"TSARATANANA_TSARATANANA"
"w668196871",6,0,0,6,7,1,319.6,343,16.5092551007779,NA,NA,NA,NA,NA,NA,54.7045241554731,668196871,26251.856,"TSARATANANA_TSARATANANA"
"w668196874",5,0,0,5,7,1,426,328,16.2885774323139,NA,NA,NA,NA,NA,NA,78.740183855871,668196874,6837.402,"TSARATANANA_TSARATANANA"
"w668196875",7,1,1,5,11,9,268.25,261.5,12.8693826983835,12,7,2,237,237,13.3298956851792,104.539198616684,668196875,3414.839,"TSARATANANA_TSARATANANA"
"w668196876",6,1,1,6,6,10,310.5,318,19.5913979948192,2,6,4,125,125,3.76470364196931,61.7041561774894,668196876,3328.132,"TSARATANANA_TSARATANANA"
"w668199369",10,2,2,4,1,9,255.4,265,31.4767844469624,12,6,3,181,181,30.6098707150259,93.2726978675221,668199369,5338.625,"TSARATANANA_SANDRAKELY"
"w668199371",5,0,0,6,6,2,399.5,356,25.6029825669188,NA,NA,NA,NA,NA,NA,70.3286516664062,668199371,19920.743,"TSARATANANA_SANDRAKELY"
"w668199375",5,0,1,6,6,2,417.333333333333,378,15.4534581253806,NA,NA,NA,NA,NA,NA,74.8740581224759,668199375,18347.429,"TSARATANANA_SANDRAKELY"
"w668201170",5,1,0,6,5,11,403.333333333333,329,20.0938817261853,11,6,1,222,222,13.434473680692,79.0110166932374,668201170,10286.381,"TSARATANANA_SANDRAKELY"
