"comm_fkt","year","month","rain_mm","date"
"AMBIABE_AMBINANINDRANOTELO",2020,3,82.3426647092226,2020-03-01
"AMBIABE_AMBINANINDRANOTELO",2020,4,0,2020-04-01
"AMBIABE_AMBINANINDRANOTELO",2020,5,13.9828897338403,2020-05-01
"AMBIABE_AMBINANINDRANOTELO",2020,6,9.32699619771863,2020-06-01
"AMBIABE_AMBINANINDRANOTELO",2020,7,12.745247148289,2020-07-01
"AMBIABE_AMBINANINDRANOTELO",2020,8,0,2020-08-01
"AMBIABE_AMBINANINDRANOTELO",2020,9,0,2020-09-01
"AMBIABE_AMBINANINDRANOTELO",2020,10,10.1977186311787,2020-10-01
"AMBIABE_AMBINANINDRANOTELO",2020,11,44.1844104070627,2020-11-01
"AMBIABE_AMBINANINDRANOTELO",2020,12,212.547524927234,2020-12-01
"AMBIABE_AMBINANINDRANOTELO",2021,1,105.307982812816,2021-01-01
"AMBIABE_AMBINANINDRANOTELO",2021,2,364.653986354291,2021-02-01
"AMBIABE_AMBINANINDRANOTELO",2021,3,115.735740966217,2021-03-01
"AMBIABE_AMBINANINDRANOTELO",2021,4,26.0171100413391,2021-04-01
"AMBIABE_AMBINANINDRANOTELO",2021,5,0,2021-05-01
"AMBIABE_AMBINANINDRANOTELO",2021,6,0,2021-06-01
"AMBIABE_AMBINANINDRANOTELO",2021,7,0,2021-07-01
"AMBIABE_AMBINANINDRANOTELO",2021,8,0,2021-08-01
"AMBIABE_AMBINANINDRANOTELO",2021,9,0,2021-09-01
"AMBIABE_AMBINANINDRANOTELO",2021,10,0,2021-10-01
"AMBIABE_AMBINANINDRANOTELO",2021,11,150.849522917896,2021-11-01
"AMBIABE_AMBINANINDRANOTELO",2021,12,131.358141623522,2021-12-01
"AMBIABE_AMBINANINDRANOTELO",2022,1,460.258664359611,2022-01-01
"AMBIABE_AMBINANINDRANOTELO",2022,2,306.573616204833,2022-02-01
"AMBIABE_AMBINANINDRANOTELO",2022,3,135.288394719362,2022-03-01
"AMBIABE_AMBINANINDRANOTELO",2022,4,30.2521789347604,2022-04-01
